Aimé Jacquet, 465, <a href='http://en.wikipedia.org/wiki/Aim%C3%A9_Jacquet'>Aimé Jacquet</a>
Jamel Aït Ben Idir, 464, <a href='http://en.wikipedia.org/wiki/Jamel_A%C3%AFt_Ben_Idir'>Jamel Aït Ben Idir</a>
Clément Grenier, 464, <a href='http://en.wikipedia.org/wiki/Cl%C3%A9ment_Grenier'>Clément Grenier</a>
Adlène Guedioura, 464, <a href='http://en.wikipedia.org/wiki/Adl%C3%A8ne_Guedioura'>Adlène Guedioura</a>
Jean-Louis Garcia, 463, <a href='http://en.wikipedia.org/wiki/Jean-Louis_Garcia'>Jean-Louis Garcia</a>
Hervé Renard, 463, <a href='http://en.wikipedia.org/wiki/Herv%C3%A9_Renard'>Hervé Renard</a>
Alphonse Areola, 463, <a href='http://en.wikipedia.org/wiki/Alphonse_Areola'>Alphonse Areola</a>
Yvon Le Roux, 462, <a href='http://en.wikipedia.org/wiki/Yvon_Le_Roux'>Yvon Le Roux</a>
Steven N'Zonzi, 462, <a href='http://en.wikipedia.org/wiki/Steven_N'Zonzi'>Steven N'Zonzi</a>
Lucas Hernández, 462, <a href='http://en.wikipedia.org/wiki/Lucas_Hern%C3%A1ndez'>Lucas Hernández</a>
Geoffrey Kondogbia, 462, <a href='http://en.wikipedia.org/wiki/Geoffrey_Kondogbia'>Geoffrey Kondogbia</a>
Christian Karembeu, 462, <a href='http://en.wikipedia.org/wiki/Christian_Karembeu'>Christian Karembeu</a>
Nabil Bentaleb, 461, <a href='http://en.wikipedia.org/wiki/Nabil_Bentaleb'>Nabil Bentaleb</a>
Jean-Philippe Gbamin, 461, <a href='http://en.wikipedia.org/wiki/Jean-Philippe_Gbamin'>Jean-Philippe Gbamin</a>
Benoît Trémoulinas, 461, <a href='http://en.wikipedia.org/wiki/Beno%C3%AEt_Tr%C3%A9moulinas'>Benoît Trémoulinas</a>
Rémy Cabella, 460, <a href='http://en.wikipedia.org/wiki/R%C3%A9my_Cabella'>Rémy Cabella</a>
Jean-Marc Guillou, 460, <a href='http://en.wikipedia.org/wiki/Jean-Marc_Guillou'>Jean-Marc Guillou</a>
Jean-François Domergue, 460, <a href='http://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Domergue'>Jean-François Domergue</a>
Frédéric Da Rocha, 460, <a href='http://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Da_Rocha'>Frédéric Da Rocha</a>
Faouzi Ghoulam, 460, <a href='http://en.wikipedia.org/wiki/Faouzi_Ghoulam'>Faouzi Ghoulam</a>
Youri Djorkaeff, 459, <a href='http://en.wikipedia.org/wiki/Youri_Djorkaeff'>Youri Djorkaeff</a>
Raphaël Guerreiro, 459, <a href='http://en.wikipedia.org/wiki/Rapha%C3%ABl_Guerreiro'>Raphaël Guerreiro</a>
Raphaël Guerreiro, 459, <a href='http://en.wikipedia.org/wiki/Rapha%C3%ABl_Guerreiro'>Raphaël Guerreiro</a>
Florian Thauvin, 459, <a href='http://en.wikipedia.org/wiki/Florian_Thauvin'>Florian Thauvin</a>
Kalidou Koulibaly, 458, <a href='http://en.wikipedia.org/wiki/Kalidou_Koulibaly'>Kalidou Koulibaly</a>
Jordan Ayew, 458, <a href='http://en.wikipedia.org/wiki/Jordan_Ayew'>Jordan Ayew</a>
Bengali-Fodé Koita, 457, <a href='http://en.wikipedia.org/wiki/Bengali-Fod%C3%A9_Koita'>Bengali-Fodé Koita</a>
Aurélien Chedjou, 457, <a href='http://en.wikipedia.org/wiki/Aur%C3%A9lien_Chedjou'>Aurélien Chedjou</a>
Yaya Sanogo, 456, <a href='http://en.wikipedia.org/wiki/Yaya_Sanogo'>Yaya Sanogo</a>
Willy Sagnol, 456, <a href='http://en.wikipedia.org/wiki/Willy_Sagnol'>Willy Sagnol</a>
Charles-Édouard Coridon, 456, <a href='http://en.wikipedia.org/wiki/Charles-%C3%89douard_Coridon'>Charles-Édouard Coridon</a>
William Gallas, 455, <a href='http://en.wikipedia.org/wiki/William_Gallas'>William Gallas</a>
René Girard, 455, <a href='http://en.wikipedia.org/wiki/Ren%C3%A9_Girard'>René Girard</a>
Benoît Costil, 455, <a href='http://en.wikipedia.org/wiki/Beno%C3%AEt_Costil'>Benoît Costil</a>
Yann M'Vila, 453, <a href='http://en.wikipedia.org/wiki/Yann_M'Vila'>Yann M'Vila</a>
Ronan Le Crom, 453, <a href='http://en.wikipedia.org/wiki/Ronan_Le_Crom'>Ronan Le Crom</a>
Gaël Kakuta, 453, <a href='http://en.wikipedia.org/wiki/Ga%C3%ABl_Kakuta'>Gaël Kakuta</a>
Nicolas Maurice-Belay, 451, <a href='http://en.wikipedia.org/wiki/Nicolas_Maurice-Belay'>Nicolas Maurice-Belay</a>
Mickaël Landreau, 451, <a href='http://en.wikipedia.org/wiki/Micka%C3%ABl_Landreau'>Mickaël Landreau</a>
